Energy Consumption (kWh/t-clinker),CO2 Emissions (kg/h)
1029.177499999999,920.5526874999996
1029.177499999999,920.5526874999996
1053.3106999999995,911.9174999999992
1053.3106999999995,911.9174999999992
1030.4240999999993,920.4179874999995
1031.9666999999993,916.8831874999995
1047.2339999999995,914.3635999999992
1039.2302999999995,914.7563999999998
1036.7732999999996,915.6402999999997
1037.9836999999993,914.9350999999997
1033.2132999999992,916.7044874999993
1052.7513999999994,912.0961999999994
1051.2089999999996,912.8667999999993
1049.8223999999993,913.5117999999993
1047.7932999999994,914.1848999999992
1034.9103999999993,916.0957874999995
1047.7932999999994,914.1848999999992
1049.8223999999993,913.5117999999993
1039.2302999999995,914.7563999999998
1034.9103999999993,916.0957874999995
1033.2132999999992,916.7044874999993
1031.9666999999993,916.8831874999995
1052.7513999999994,912.0961999999994
1051.2089999999996,912.8667999999993
1035.5266999999994,915.8189999999996
1030.4240999999993,920.4179874999995
1036.7732999999996,915.6402999999997
1037.9836999999993,914.9350999999997
1047.2339999999995,914.3635999999992
1050.6496999999995,913.0454999999993
1050.3816999999992,913.3330999999993
1035.5266999999994,915.8189999999996
1050.3816999999992,913.3330999999993
1050.6496999999995,913.0454999999993
1047.2339999999995,914.3635999999992
1031.9666999999993,916.8831874999995
1039.2302999999995,914.7563999999998
1034.9103999999993,916.0957874999995
1050.3816999999992,913.3330999999993
1035.5266999999994,915.8189999999996
1036.7732999999996,915.6402999999997
1033.2132999999992,916.7044874999993
1049.8223999999993,913.5117999999993
1051.2089999999996,912.8667999999993
1036.7732999999996,915.6402999999997
1049.8223999999993,913.5117999999993
1053.3106999999995,911.9174999999992
1039.2302999999995,914.7563999999998
1031.9666999999993,916.8831874999995
1049.8223999999993,913.5117999999993
